english,nepali,bhutia_script,transliteration,audio
my,मेरो,ངའི།  ,nga-yi.,audio/hello.mp3
your,तपाईंको,ཆོད་ཀྱི/རང་གི/ལྷན་རྒྱས་ཀྱི། ,chey-ki/rang-gi/lhengay-ki.,audio/hello.mp3
this,यो,འདི།  ,di.,audio/hello.mp3
that,त्यो,ཨོ་འདི། ,o-di.,audio/hello.mp3
what,के,གན? ,ghan?,audio/hello.mp3
who,को,ཀ? ,ka?,audio/hello.mp3
where,कहा,ག་ན།  ,gha-na?,audio/hello.mp3
when,कहिले,ནམ? ,nam?,audio/hello.mp3
why?,किन?,གན་བྱ༹ས? ,ghan-bya?,audio/hello.mp3
how?कसरी?,ག་ལྟེ?  ,gha-tey?,audio/hello.mp3
which,कुन,ག་འདི?  ,gha-di?,audio/hello.mp3
whose,कस्को,ཀའི?  ,ka-yi?,audio/hello.mp3
how much,कति,ག་ཚོད?  ,gha-tsey?,audio/hello.mp3
how many,कतिवटा,ག་ཚོད? ,gha-tsey?,audio/hello.mp3
how long,कति लामो समयसम्म,ནམ་ཟང་སྟེ? ,nam sang-tey?,audio/hello.mp3
how far,कति टाढा,ག་ལྟེ་ཅིག་ ཐག་རིང? ,gha-tey chik thak-ring?,audio/hello.mp3
mother,आमा,ཨ་མ/ཨམ/ཡུམ ,ama/am/yum,audio/hello.mp3
father,बुबा,ཨ་བ/ཡར་པོ/ཡབ། ,aba/yapo/yab,audio/hello.mp3
younger brother,कान्छा भाइ,སྤུན་ལོ། ,punlo,audio/hello.mp3
elder sister,दिदी,ཨ་ཞི།  ,a-zhi,audio/hello.mp3
younger sister,कान्छी बहिनी,བུ་སྲིང/ནུམ། ,bhu-sim/num.,audio/hello.mp3
son,छोरा,བུ/སྲས། ,bhu/sey.,audio/hello.mp3
daughter,छोरी,བུམ/སྲསམ། ,bhum/sem.,audio/hello.mp3
grandfather,हजुरबुबा,ཨ་ཇོ། ,ajyo.,audio/hello.mp3
grandmother,हजुरआमा,ཨ་ཉོ། ,anyo.,audio/hello.mp3
uncle,काका,ཨ་ཀུ།   ,aku.,audio/hello.mp3
aunt,काकी,ཨམ་ཆུང་། ,amchung.,audio/hello.mp3
cousin,चचेरे भाई,ཕ་སྤུན། ,pha-pun.,audio/hello.mp3
husband,श्रीमान्,ཕོ་རྒྱག། ,pho-gya.,audio/hello.mp3
wife,श्रीमती,མོ་བུད། ,mo-bi.,audio/hello.mp3
child,बालक,བོ་ཙོ།  ,bo-tso.,audio/hello.mp3
children,बालबालिकाहरू,བོ་ཙོ་ཙུ། ,bo-tso-tsu.,audio/hello.mp3
baby,बाबु,ཨོ་ཉེ། ,o-nye.,audio/hello.mp3
man,मानिस,ཕོ། ,pho.,audio/hello.mp3
woman,महिला,མོ། mo.,audio/hello.mp3
boy,केटा,བུ། bhu.,audio/hello.mp3
girl,केटी,བུམ། bhum.,audio/hello.mp3
friend,साथी,ཆ་རོགས། ,cha-rog.,audio/hello.mp3
neighbour,छिमेकी,ཁྱིམ་ཚེས། ,khyim-tse.,audio/hello.mp3
family,परिवार,ནང་མི/བཟའ་མི། ,nang-mi/za-mi.,audio/hello.mp3
parent,अभिभावक,ཕ་མ། ,pha-ma.,audio/hello.mp3
people,मानिसहरू,མི་ཙུ། ,mi-tsu.,audio/hello.mp3
person,व्यक्ति,གང་ཟག། ,gang-sak.,audio/hello.mp3
elder,ज्येष्ठ,རྒན་བོ། ,genbo.,audio/hello.mp3
guest,पाहुना,མགྱོན་པུ། ,gyem-pu,audio/hello.mp3
elder brother,दाजु,ཨ་ཅུ་ རྒན་བོ། ,achu-genbo.,audio/hello.mp3
eat,खानु,ཟ། ,sa.,audio/hello.mp3
drink,पिउनु,མཐུང་། ,thung.,audio/hello.mp3
go,जानुहोस्,སོངས་། ,song.,audio/hello.mp3
come,आउनुहोस्,ཤོག། ,shyog.,audio/hello.mp3
see,हेर्नुहोस्,ལྟ། ,ta,audio/hello.mp3
look,हेर्नुहोस्,ལྟ། ,ta.,audio/hello.mp3
want,चाहनु,དགོས། ,goe.,audio/hello.mp3
need,आवश्यकता,དགོས། ,goe.,audio/hello.mp3
give,दिनुहोस्,བྱི༹ན། ,byin.,audio/hello.mp3
take,लिनुहोस्,ཁྱིག/འབག། ,khyig/bak.,audio/hello.mp3
make,बनाउनुहोस्,ཟོ། ,zo.,audio/hello.mp3
do,गर्नुहोस्,བྱ༹ས། ,bya.,audio/hello.mp3
say,भन्नुहोस्,ལབ། ,lab.,audio/hello.mp3
speak,बोल्नुहोस्,ཁ་ལབ། ,kha-lab.,audio/hello.mp3
talk,कुराकानी,ལབ། ,lab.,audio/hello.mp3
tellभन्नुहोस्,,ལབ། ,lab,audio/hello.mp3
ask,सोध्नुहोस्,དྲི། ,dri.,audio/hello.mp3
answer,उत्तर,ལན། ,len.,audio/hello.mp3
question,प्रश्न,དྲི་བ། ,dri-wa.,audio/hello.mp3
know,जान्नु,ཧ་གོ། ,ha-go.,audio/hello.mp3
think,सोच्नुहोस्,མནོ་བསམ།, no-sam.,audio/hello.mp3
feel,महसुस गर्नु,འཚོར་བ། ,tshor-wa.,audio/hello.mp3
love,माया,དགའ་ཚོར། ,ga-tshor.,audio/hello.mp3
like,मन पराउनु,དགའ་བ། ,ga-wa.,audio/hello.mp3
help,मद्दत,རོགས་རམ། ,ro-ram.,audio/hello.mp3
work,काम,གཡོག། ,yok.,audio/hello.mp3
walk,हिँड्नु,འགྱུ་ཤད། ,gyu-shey.,audio/hello.mp3
run,दौडनु,རྒྱུགས་ཤད།  ,gyug-shey.,audio/hello.mp3
sit,बस्नुहोस्,སྡོད། ,ded.,audio/hello.mp3
stand,उभिनु,ལོངས། ,long.,audio/hello.mp3
sleep,सुत्नु,ཉལ། ,nyal.,audio/hello.mp3
wake,ब्युँझनु,བཞངས། ,zhyang.,audio/hello.mp3
open,खोल्नुहोस्,ཕྱི༹། ,phyi.,audio/hello.mp3
close,बन्द,བཅད། ,chey.,audio/hello.mp3
buy,किन्नुहोस्,ཉོ། ,nyo.,audio/hello.mp3
sell,बेच्नु,བཙོང་། ,tsong.,audio/hello.mp3
pay,भुक्तानी,བཏབ། ,tab.,audio/hello.mp3
cook,पकाउनु,བཙོ། ,tso.,audio/hello.mp3
wash,धुने,འཁྱུ། ,khyu.,audio/hello.mp3
clean,सफा,གཙང་མུ། ,tsang-mu.,audio/hello.mp3
read,पढ्नुहोस्,སྒྲོགས། ,drok.,audio/hello.mp3
write,लेख्नुहोस्,བྲི། ,dri.,audio/hello.mp3
learn,सिक्नुहोस्,སྦྱངས། ,jyang.,audio/hello.mp3
teach,सिकाउनु,བསླབ། ,lhab.,audio/hello.mp3
sing,गाउनु,གླུ་བཏང་ཤད། ,lu-tang-shey.,audio/hello.mp3
dance,नाच,ཞབས་བྲོ། ,shyab-dro.,audio/hello.mp3
play,खेल्नुहोस्,རྩེད། ,tsi.,audio/hello.mp3
stop,रोक्नुहोस्,བཀག། ,kag.,audio/hello.mp3
start,सुरु गर्नुहोस्,འགོ་བཙུགས།  ,go-tsug.,audio/hello.mp3
wait,पर्खनुहोस्,སྒུགས། ,gug.,audio/hello.mp3
find,फेला पार्नुहोस्,འཚོལ། ,tshey.,audio/hello.mp3
bring,ल्याउनु,བསྣམ་བྱོན། ,nam-jyen.,audio/hello.mp3
carry,बोक्नु,འབག། ,bak.,audio/hello.mp3
hold,समात्नुहोस्,འཛིན། ,dzin.,audio/hello.mp3
put,राख्नु,བཅུག། ,chyug.,audio/hello.mp3
push,धकेल्नुहोस्,ལོག་བཀོས། ,lhok-koe.,audio/hello.mp3
pull,तान्नु,འཐེངས། ,theng.,audio/hello.mp3
cut,काट्नु,བཏོག། ,tok.,audio/hello.mp3
break,विराम,གཅག/ཆགས། ,chak/chak.,audio/hello.mp3
meet,भेट्नुहोस्,འཕྱེ༹ད། ,phye.,audio/hello.mp3
water,पानी,ཆུ།  ,chu.,audio/hello.mp3
food,खाना,ཟམ། ,sam.,audio/hello.mp3
rice,चामल,འབྲས/ཆུམ། ,dre/chum.,audio/hello.mp3
bread,रोटी,ཁུ/བག་ལེབ། ,khu/bak-lep.,
meat,मासु,ཤ། ,shya.,audio/hello.mp3
fish meat,माछाको मासु,ཉ་ཤ། ,nya-shya.,audio/hello.mp3
chicken meat,कुखुराको मासु,བྱ༹་ཤ། ,bya-shya.,audio/hello.mp3
egg,अण्डा,སྒོ་དོག། ,go-dok.,audio/hello.mp3
milk,दूध,ཨོམ། ,om.,audio/hello.mp3
tea,चिया,ཇ། ,jya.,audio/hello.mp3
coffee,कफी,ཚིག་ཇ/ཀོ་ཕི། ,tshig-jya/koffe.,audio/hello.mp3
sugar,चिनी,མངརམ, ,ngarm.,audio/hello.mp3
salt,नुन,ཚ། ,tsha.,audio/hello.mp3
oil,तेल,སྣུམ། ,num.,audio/hello.mp3
butter,मख्खन,མར། ,ma.,audio/hello.mp3
fruit,फल,ཤིང་འབྲས། shing-dre.,
vegetable,तरकारी,ཚོདམ/སྔོ་ཚོད། ,tsem/ngo-tse.,audio/hello.mp3
apple,स्याउ,གླི། ,li.,audio/hello.mp3
banana,केरा,ཀེ་སྡོང་། ,ke-dong.,audio/hello.mp3
orange,सुन्तला,ཚ་ལུམ། ,tsha-lum.,audio/hello.mp3
potato,ཨ་ལི་ སྐྱེའུ། ,ali-kiyu.,audio/hello.mp3
onion,ཨོ་ཙོང་། ,o-tsong.,audio/hello.mp3
garlic,སྒོག་ཀོ། ,gok-ko.,audio/hello.mp3
ginger,སྒ། ,ga.,audio/hello.mp3
chili,ཨ་ཀར། a-kar.,
soup,ཁུ། ,khu.,audio/hello.mp3
noodles,ཐུག་པ། ,thuk-pa.,audio/hello.mp3
breakfast,དྲོ་ཟ། ,dro-za.,audio/hello.mp3
lunch,ཛ་བོ། ,dza-wo.,audio/hello.mp3
dinner,ཕྱི༹་ཟམ། ,phyi-sam.,audio/hello.mp3
snacks,ཁ་ཟས། ,kha-sey.,audio/hello.mp3
hungry,གྱོདབ་ ལྟོགས་པ། ,gyeb-tokpa.,audio/hello.mp3
thirsty,ཁ་སྐོམ། ,kha-kom.,audio/hello.mp3
delicious,ཞིམ་པོ། ,shim-pu.,audio/hello.mp3
spicy,ཁ་ཚིག། ,kha-tsik.,audio/hello.mp3
sweet,མངརམ། ,ngarm.,audio/hello.mp3
sour,སྐྱུརམ། ,kyurm.,audio/hello.mp3
meal,ཟམ། ,sam.,audio/hello.mp3
dish,ཟས། ,sey.,audio/hello.mp3
plate,སྡེར་མ། ,der-ma.,audio/hello.mp3
cup,ཕོརབ། ,phorp.,audio/hello.mp3
glass,ཤེལ་ཕོརབ། ,shyel-phorp.,audio/hello.mp3
bottle,ཤེལ་དམ། ,shyel-dam.,audio/hello.mp3
spoon,ཐུརམ།  ,thurm.,audio/hello.mp3
fork,རྩེ་ཐུརམ། ,tse-thurm.,audio/hello.mp3
knife,གྱི། ,ghyi.,audio/hello.mp3
kitchen,ཐབ་ཚང་། ,thab-tsang.,audio/hello.mp3
cooked,བཙོ། ,tso.,audio/hello.mp3
raw,རྗེན་པོ། ,jyem-po.,audio/hello.mp3
fresh,གསརབ། ,sarp.,audio/hello.mp3
local food, ཡུལ་ཁའི་ ཟམ། ,E-khai sam,audio/hello.mp3
millet,མིན་ཅག། ,min-chak.,audio/hello.mp3

